ticker,date,foreign_buy,foreign_sell,foreign_net,trust_net,dealer_net,total_net
2351.TW,2023-03-08,932000,1029000,-97000,340000,114985,357985
2351.TW,2023-03-09,245000,818000,-573000,0,19347,-553653
2351.TW,2023-03-10,166000,315000,-149000,0,-47354,-196354
2351.TW,2023-03-13,444000,354000,90000,0,-137064,-47064
2351.TW,2023-03-14,387000,82000,305000,0,-15149,289851
2351.TW,2023-03-15,693000,259234,433766,0,-36996,396770
2351.TW,2023-03-16,397000,755000,-358000,0,-41120,-399120
2351.TW,2023-03-17,802000,223000,579000,-45000,-40,533960
2351.TW,2023-03-20,747000,225000,522000,40000,60140,622140
2351.TW,2023-03-21,75000,297000,-222000,0,-47373,-269373
2351.TW,2023-03-22,503000,102000,401000,0,15934,416934
2351.TW,2023-03-23,982000,402000,580000,126000,601200,1307200
2351.TW,2023-03-24,1550000,3920000,-2370000,85000,113667,-2171333
2351.TW,2023-03-27,970000,815000,155000,21000,-274401,-98401
2351.TW,2023-03-28,1283000,459000,824000,-303000,-124880,396120
2351.TW,2023-03-29,369000,328000,41000,-119000,-2,-78002
2351.TW,2023-03-30,546000,247000,299000,0,23000,322000
2351.TW,2023-03-31,410000,321000,89000,0,-25999,63001
2351.TW,2023-04-06,232000,439000,-207000,0,29898,-177102
2351.TW,2023-04-07,511000,1102000,-591000,0,43908,-547092
2351.TW,2023-04-10,863000,408000,455000,0,109801,564801
2351.TW,2023-04-11,259000,671000,-412000,-145000,-134597,-691597
2351.TW,2023-04-12,363000,191000,172000,-40000,-37279,94721
2351.TW,2023-04-13,259000,275000,-16000,-81000,-54425,-151425
2351.TW,2023-04-14,338000,234000,104000,-30000,4659,78659
2351.TW,2023-04-17,382000,198000,184000,9000,84076,277076
2351.TW,2023-04-18,238000,1022800,-784800,-78000,-25928,-888728
2351.TW,2023-04-19,498000,204000,294000,-131000,-82985,80015
2351.TW,2023-04-20,1341000,768200,572800,-9000,85699,649499
2351.TW,2023-04-21,971000,3478000,-2507000,-514000,-160776,-3181776
2351.TW,2023-04-24,1930000,1400000,530000,-125000,25032,430032
