ticker,date,per,pbr,dividend_yield
2436.TW,2020-08-05,28.78,2.05,4.69
2436.TW,2020-08-06,27.03,1.92,5.0
2436.TW,2020-08-07,26.98,1.92,5.01
2436.TW,2020-08-10,26.35,1.88,5.13
2436.TW,2020-08-11,26.13,1.86,5.17
2436.TW,2020-08-12,26.08,1.86,5.18
2436.TW,2020-08-13,26.04,1.85,5.19
2436.TW,2020-08-14,26.35,1.88,5.13
2436.TW,2020-08-17,26.53,1.89,5.09
2436.TW,2020-08-18,26.22,1.87,5.15
2436.TW,2020-08-19,27.12,1.93,4.98
2436.TW,2020-08-20,25.05,1.78,5.4
2436.TW,2020-08-21,25.5,1.82,5.3
2436.TW,2020-08-24,26.17,1.86,5.16
2436.TW,2020-08-25,26.67,1.9,5.07
2436.TW,2020-08-26,26.58,1.89,5.08
2436.TW,2020-08-27,26.71,1.9,5.06
2436.TW,2020-08-28,26.62,1.9,5.08
2436.TW,2020-08-31,26.62,1.9,5.08
2436.TW,2020-09-01,27.03,1.92,5.0
2436.TW,2020-09-02,27.39,1.95,4.93
2436.TW,2020-09-03,27.21,1.94,4.97
2436.TW,2020-09-04,27.57,1.96,4.9
2436.TW,2020-09-07,27.21,1.94,4.97
2436.TW,2020-09-08,27.57,1.96,4.9
2436.TW,2020-09-09,27.52,1.96,4.91
2436.TW,2020-09-10,27.21,1.94,4.97
2436.TW,2020-09-11,26.85,1.91,5.03
2436.TW,2020-09-14,27.84,1.98,4.85
2436.TW,2020-09-15,27.88,1.99,4.85
2436.TW,2020-09-16,28.11,2.0,4.81
2436.TW,2020-09-17,28.15,2.0,4.8
2436.TW,2020-09-18,28.24,2.01,4.78
2436.TW,2020-09-21,28.02,1.99,4.82
2436.TW,2020-09-22,27.79,1.98,4.86
2436.TW,2020-09-23,28.47,2.03,4.75
2436.TW,2020-09-24,27.34,1.95,4.94
2436.TW,2020-09-25,26.26,1.87,5.15
2436.TW,2020-09-28,27.07,1.93,4.99
2436.TW,2020-09-29,26.89,1.91,5.03
2436.TW,2020-09-30,27.07,1.93,4.99
2436.TW,2020-10-05,26.94,1.92,5.02
2436.TW,2020-10-06,27.21,1.94,4.97
2436.TW,2020-10-07,27.7,1.97,4.88
2436.TW,2020-10-08,27.3,1.94,4.95
2436.TW,2020-10-12,27.84,1.98,4.85
2436.TW,2020-10-13,28.06,2.0,4.82
2436.TW,2020-10-14,30.63,2.18,4.41
2436.TW,2020-10-15,30.14,2.15,4.48
2436.TW,2020-10-16,28.87,2.06,4.68
2436.TW,2020-10-19,29.05,2.07,4.65
2436.TW,2020-10-20,28.65,2.04,4.72
2436.TW,2020-10-21,28.74,2.05,4.7
2436.TW,2020-10-22,28.83,2.05,4.69
2436.TW,2020-10-23,28.87,2.06,4.68
2436.TW,2020-10-26,28.42,2.02,4.75
2436.TW,2020-10-27,28.29,2.01,4.78
2436.TW,2020-10-28,27.93,1.99,4.84
2436.TW,2020-10-29,27.61,1.97,4.89
2436.TW,2020-10-30,27.61,1.97,4.89
2436.TW,2020-11-02,27.12,1.93,4.98
2436.TW,2020-11-03,27.52,1.96,4.91
2436.TW,2020-11-04,27.84,1.98,4.85
2436.TW,2020-11-05,21.74,1.88,4.79
2436.TW,2020-11-06,21.11,1.82,4.93
2436.TW,2020-11-09,21.53,1.86,4.84
2436.TW,2020-11-10,21.84,1.88,4.77
2436.TW,2020-11-11,21.84,1.88,4.77
2436.TW,2020-11-12,22.05,1.9,4.72
2436.TW,2020-11-13,22.5,1.94,4.63
2436.TW,2020-11-16,22.36,1.93,4.66
2436.TW,2020-11-17,22.22,1.92,4.69
2436.TW,2020-11-18,22.78,1.97,4.57
2436.TW,2020-11-19,22.88,1.97,4.55
2436.TW,2020-11-20,22.88,1.97,4.55
2436.TW,2020-11-23,23.33,2.01,4.46
2436.TW,2020-11-24,22.71,1.96,4.59
2436.TW,2020-11-25,23.26,2.01,4.48
2436.TW,2020-11-26,23.26,2.01,4.48
2436.TW,2020-11-27,22.99,1.98,4.53
2436.TW,2020-11-30,23.06,1.99,4.52
2436.TW,2020-12-01,23.47,2.03,4.44
2436.TW,2020-12-02,24.03,2.07,4.34
2436.TW,2020-12-03,25.49,2.2,4.09
2436.TW,2020-12-04,25.76,2.22,4.04
2436.TW,2020-12-07,25.42,2.19,4.1
2436.TW,2020-12-08,25.31,2.18,4.12
2436.TW,2020-12-09,27.81,2.4,3.75
2436.TW,2020-12-10,28.82,2.49,3.61
2436.TW,2020-12-11,31.7,2.74,3.29
2436.TW,2020-12-14,31.15,2.69,3.34
2436.TW,2020-12-15,28.61,2.47,3.64
2436.TW,2020-12-16,31.46,2.71,3.31
2436.TW,2020-12-17,34.58,2.98,3.01
2436.TW,2020-12-18,35.63,3.07,2.92
2436.TW,2020-12-21,33.37,2.88,3.12
2436.TW,2020-12-22,31.91,2.75,3.26
2436.TW,2020-12-23,33.23,2.87,3.13
2436.TW,2020-12-24,32.99,2.85,3.16
2436.TW,2020-12-25,33.19,2.86,3.14
2436.TW,2020-12-28,33.54,2.89,3.11
2436.TW,2020-12-29,34.13,2.94,3.05
